brand,price,type,colour,msoffice,RAM,RAMtype,SSD,SSDCap,HDDCap,ProcessorBrand,ProcessorName,ProcessorVariant,ClockSpeed,GPU,GPUramtype,GPUramcap,OS,Touchscreen,Screensize,Screenreso,refreshrate,Bluetooth,Weight,BacklitKB,warranty
ASUS,"₹31,990",Thin and Light Laptop,Silver,Yes,8 GB,DDR4,Yes,512 GB,No,Intel,Core i3,1115G4,"Base Frequency 3.0 GHz, Max Turbo Boost at 4.1 GHz",Intel Integrated UHD,GDDR4,2 GB,Windows 11 Home,No,35.56 cm (14 Inch),1920 x 1080 Pixels,60,v5.1,1.60 kg,No,1 Year Onsite Warranty
HP,"₹33,990",Thin and Light Laptop,Natural Silver,Yes,8 GB,LPDDR5,Yes,512 GB,No,AMD,Ryzen 3 Quad Core,7320U,2.4GHz Upto 4.1GHz,AMD Radeon AMD,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,60,v5.3,1.75 Kg,Yes,1 Year Onsite Warranty
MSI,"₹28,990",Thin and Light Laptop,Classic Black,No,8 GB,DDR4,Yes,512 GB,No,Intel,Core i3,1115G4,1.70 GHz up to 4.10 GHz,Intel Integrated UHD,GDDR4,2 GB,Windows 11 Home,No,35.56 cm (14 Inch),1920 x 1080 Pixel,60,v5.2,1.4 Kg,Yes,1 Year Carry-in Warranty
Acer,"₹28,990",Notebook,Pure Silver,No,8 GB,LPDDR5,Yes,256 GB,No,Intel,Core i3,N305,Max Turbo Frequency Upto 3.80 GHz,Intel Integrated UHD,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,60,v5.1,1.7 Kg,No,1 Year International Travelers Warranty
ASUS,"₹52,990",2 in 1 Laptop,Transparent Silver,No,8 GB,DDR4,Yes,512 GB,No,AMD,Ryzen 5 Hexa Core,5600HS,3.3GHz Upto max turbo frequency at 4.2 GHz,AMD Radeon AMD,GDDR4,2 GB,Windows 11 Home,Yes,35.56 cm (14 inch),1920 x 1200 Pixel,60,v5.0,1.50 Kg,Yes,1 Year Onsite Warranty
DELL,"₹42,990",Laptop,Titan Grey,Yes,8 GB,DDR4,Yes,512 GB,No,Intel,Core i5,1135G7,2.40 GHz up to 4.20 GHz,Intel Integrated UHD,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,60,v5.1,1.83 Kg,No,1 Year Onsite Warranty
HP,"₹19,979",Thin and Light Laptop,Black,No,4 GB,DDR4,Yes,256 GB,No,AMD,Athlon Dual Core,AMD Athlon Silver-3050U,2.1 GHz base clock,NA,DDR4,2 GB,DOS,No,39.62 cm (15.6 inch),1366 x 768$$Pixels pixel,60,V3.0,1.47 kg,No,1 year warranty
HP,"₹38,390",Thin and Light Laptop,Natural Silver,Yes,8 GB,DDR4,Yes,512 GB,No,AMD,Ryzen 5 Hexa Core,5500U,2.1 GHz with Max Turbo Boost Frequency Up to 4.0 GHz,AMD Radeon AMD,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,60,v4.2,1.69 kg,No,1 Year Onsite Warranty
ASUS,"₹47,990",Thin and Light Laptop,Indie Black,Yes,16 GB,DDR4,Yes,512 GB,No,AMD,Ryzen 5 Hexa Core,AMD R5-5500U,2.1 GHz with Max Turbo Boost Frequency Up to 4.0 GHz,AMD Radeon AMD,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,60,v5.0,1.80 kg,Yes,1 Year Onsite Warranty
ASUS,"₹44,990",Thin and Light Laptop,Quiet Blue,Yes,16 GB,DDR4,Yes,512 GB,No,AMD,Ryzen 7 Octa Core,5800HS,3.2GHz Upto 4.4GHz,AMD Radeon AMD,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,60,v5.0,1.70 kg,No,1 Year Onsite Warranty
MSI,"₹50,990",Gaming Laptop,Black,No,16 GB,DDR4,Yes,256 GB,1 TB,Intel,Core i5,11260H,Max Turbo Frequency up to 4.4GHz,NVIDIA GeForce RTX 3050,GDDR6,4 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,144 Hz,v5.2,1.86 Kg,No,2 Year Carry-in Warranty
HP,"₹63,990",Laptop,Natural Silver,Yes,16 GB,DDR4,Yes,512 GB,No,Intel,Core i5,1235U,4.40 GHz,Intel Integrated Iris Xe Graphics,GDDR4,2 GB,Windows 11 Home,No,35.56 cm (14 inch),1920 x 1080 pixel,60 Hz,4.2,1.4 kg,Yes,1 Year Warranty
Lenovo,"₹70,190",Thin and Light Laptop,Cloud Grey,Yes,16 GB,LPDDR5,Yes,512 GB,No,Intel,Core i5,13500H,"Base Frequency 2.6 GHz, Max Turbo Boost at 4.7 GHz",Intel Integrated Iris Xe,GDDR4,2 GB,Windows 11 Home,No,40.64 cm (16 Inch),1920 x 1200 Pixels,60,v5.1,1.89 kg,Yes,1 Yr Onsite Warranty + 1 Yr Premium Care
ASUS,"₹44,990",Thin and Light Laptop,Cool Silver,Yes,8 GB,LPDDR5,Yes,512 GB,No,AMD,Ryzen 5 Quad Core,7520U,2.8 GHz upto max turbo frequency at 4.3 Ghz,AMD Radeon AMD,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,60,v5.0,1.63 Kg,No,1 Year Onsite Warranty
ASUS,"₹39,980",Thin and Light Laptop,Indie Black,Yes,8 GB,DDR4,Yes,512 GB,No,Intel,Core i3,1315U,Max Turbo Frequency up to 4.5 GHz,Intel Integrated UHD,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,60,v5.0,1.60 Kg,Yes,1 Year Onsite Warranty
HP,"₹58,990",Gaming Laptop,Performance Blue,Yes,8 GB,DDR4,Yes,512 GB,No,Intel,Core i5,12450H,Max turbo frequency at 4.4 Ghz,NVIDIA GeForce RTX 2050,GDDR6,4 GB,Windows 11 Home,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,60,v5.3,2.37 Kg,Yes,1 Year Onsite Warranty
ASUS,"₹22,999",Chromebook,Dark Grey,No,4 GB,LPDDR4,No,No,No,Intel,Celeron Dual Core,N4020,1.1 GHz upto max turbo frequency at 2.8 Ghz,Intel Integrated UHD,GDDR4,2 GB,Chrome,Yes,29.46 cm (11.6 inch),1366 x 768 Pixel,60,v 5.1,1.20 Kg,No,1 Year Onsite Warranty
CHUWI,"₹24,990",Laptop,Grey,No,8 GB,DDR4,Yes,512 GB,No,Intel,Core i3,1005G1,1.2GHz,Intel Integrated Intel UHD Graphics,GDDR4,2 GB,Windows 11 Home,No,35.56 cm (14 inch),1920 x 1200 pixel,60,5.2,1.40 kg,Yes,1 Year Onsite Warranty
