brand,price,type,colour,msoffice,RAM,RAMtype,SSD,SSDCap,HDDCap,ProcessorBrand,ProcessorName,ProcessorVariant,ClockSpeed,GPU,GPUramtype,GPUramcap,OS,Touchscreen,Screensize,Screenreso,refreshrate,Bluetooth,Weight,BacklitKB,warranty
DELL,"₹79,990",Gaming Laptop,Dark Shadow Gray with Black thermal shelf,Yes,16 GB,DDR5,Yes,512 GB,No,Intel,Core i5,13450HX,Max Turbo Frequency up to 4.6 GHz,NVIDIA GeForce RTX 3050,GDDR6,6 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 X 1080 Pixel,60,Yes,2.65 Kg,No,1 Year Onsite Premium Support
ASUS,"₹1,18,990",Gaming Laptop,Indie Black,Yes,16 GB,DDR4,Yes,512 GB,No,Intel,Core i7,12650H,3.2 GHz upto max turbo frequency at 4.7 Ghz,NVIDIA GeForce RTX 4060,GDDR6,8 GB,Windows 11 Home,No,40.64 cm (16 Inch),1920 x 1200 Pixel,60,v5.3,1.80 Kg,Yes,1 Year Onsite Warranty
HP,"₹47,890",Business Laptop,Silver,No,16 GB,DDR4,Yes,512 GB,No,Intel,Core i5,11500,3.1GHZ,Intel Integrated,GDDR4,2 GB,Windows 11 Pro,No,39.62 cm (15.6 inch),1366X768 pixel,75 Hz,v5.1,1.75 kg,No,1 year Onsite Warrenty
ASUS,"₹55,290",Thin and Light Laptop,Mixed Black,Yes,16 GB,LPDDR5,Yes,512 GB,No,AMD,Ryzen 5 Quad Core,7520U,2.8 GHz upto max turbo frequency at 4.3 Ghz,AMD Radeon AMD,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,60,v5.0,1.63 Kg,No,1 Year Onsite Warranty
HP,"₹52,000",Thin and Light Laptop,Natural Silver,Yes,16 GB,DDR4,Yes,512 GB,No,Intel,Core i5,,,Intel Integrated Intel Iris Xe Graphics,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 inch),1920 x 1080$$Pixel pixel,60,v5.0,,Yes,1 Year Onsite Warranty
ASUS,"₹34,368",Thin and Light Laptop,Transparent Silver,Yes,8 GB,DDR4,Yes,256 GB,No,Intel,Core i3,1115G4,4.1,Intel Integrated UHD Graphics,GDDR4,2 GB,Windows 11 Home,No,35.56 cm (14 Inch),1920 x 1080 Pixels,60,v4.1,1.60 Kg,No,1 Year Onsite Warranty
Acer,"₹45,990",Thin and Light Laptop,Black,No,16 GB,DDR4,Yes,1 TB,No,Intel,Core i7,1165G7,2.8 GHz with Turbo Boost Upto 4.7 GHz,Intel Integrated Iris Xe,GDDR4,2 GB,Windows 11 Home,No,35.56 cm (14 inch),1920 X 1080 Pixel,60,v5.1,1.6 Kg,Yes,1 Year Onsite Warranty
DELL,"₹76,480",Thin and Light Laptop,Titan Grey,Yes,16 GB,DDR4,Yes,512 GB,No,Intel,Core i5,1240P,"Base Frequency 1.20 GHz, Max Turbo Boost Upto 4.40 GHz",Intel Integrated UHD,GDDR4,2 GB,Windows 11 Home,No,40.64 cm (16 inch),1920 x 1080 Pixels,60,Bluetooth,1.91 kg kg,,1 Year Onsite Hardware Service
Acer,"₹45,990",Thin and Light Laptop,Black,No,16 GB,DDR4,Yes,1 TB,No,Intel,Core i7,1165G7,2.8 GHz with Turbo Boost Upto 4.7 GHz,Intel Integrated Iris Xe,GDDR4,2 GB,Windows 11 Home,No,35.56 cm (14 inch),1920 X 1080 Pixel,60,v5.1,1.6 Kg,Yes,1 Year Onsite Warranty
iball,"₹8,000",Laptop,Blue,No,2 GB,DDR3,No,No,No,Intel,Atom Quad Core,Z3735F,1.33 GHz with Turbo Boost Upto 1.83 GHz,Intel Integrated HD,GDDR4,2 GB,Windows 10 Home,No,29.46 cm (11.6 inch),1366 x 768 pixel,60,Yes,1 kg,No,1 Year Manufacturer Warranty
Acer,"₹54,800",Gaming Laptop,Black,No,8 GB,DDR4,Yes,512 GB,No,Intel,Core i5,1240P,3.30 Ghz with Max Tubro Frequency up to 4.40 Ghz,NVIDIA GeForce GTX 1650,GDDR6,4 GB,Windows 11 Home,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,60,v5.2,2.1 Kg,Yes,1 Year International Travelers Warranty (ITW)
MSI,"₹45,990",Gaming Laptop,Black,No,8 GB,DDR5,Yes,512 GB,No,AMD,Ryzen 5 Hexa Core,7535HS,Max Frequency Up to 4.55 GHz,AMD Radeon RX6550M,GDDR6,4 GB,Windows 11 Home,No,39.62 cm (15.6 inch),1920 X 1080 Pixel,144 Hz,v5.3,2.35 Kg,Yes,1 Year Carry-in Warranty
CHUWI,"₹27,990",2 in 1 Laptop,Grey,No,12 GB,LPDDR4,Yes,512 GB,No,Intel,Core i3,Intel Core i3-1215U,2.8GHz,Intel Integrated Intel UHD Graphics,GDDR3,2 GB,Windows 11 Home,Yes,34.29 cm (13.5 inch),2256x1504 pixel,60,5.2,1340 g,Yes,1 Year Onsite Warranty
Lenovo,"₹54,900",Thin and Light Laptop,Black,No,8 GB,DDR4,Yes,512 GB,No,AMD,Ryzen 5 Hexa Core,5600U,2.3 GHz with Turbo Boost Upto 4.2 GHz,AMD Radeon AMD,GDDR4,2 GB,DOS,No,35.56 cm (14 inch),1920 x 1080 Pixel,60,v5.0,1.69 kg,No,1 Year Onsite Warranty
Lenovo,"₹42,490",Laptop,Artic Grey,Yes,8 GB,DDR4,Yes,512 GB,No,AMD,Ryzen 5 Hexa Core,,,AMD Radeon Integrated AMD Radeon Graphics,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 inch),1920 x 1080 pixel,60,BT5.0,,No,1 Year Domestic
HP,"₹54,500",Gaming Laptop,Mica Silver,No,8 GB,DDR4,Yes,512 GB,No,AMD,Ryzen 5 Hexa Core,5600H,3.3GHz Upto max turbo frequency at 4.2 GHz,NVIDIA GeForce GTX 1650,GDDR6,4 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,144 Hz,v5.3,2.37 Kg,Yes,1 Year Onsite Warranty
HP,"₹31,990",Thin and Light Laptop,Black,No,8 GB,DDR4,Yes,512 GB,No,AMD,Ryzen 5 Quad Core,,,AMD Radeon Radeon™ Vega Graphics,GDDR4,2 GB,DOS,No,35.56 cm (14 inch),1366 x 768 pixel,60 Hz,4.2,,No,1 Year
DELL,"₹53,999",Business Laptop,"Grey, Silver",Yes,8 GB,DDR4,Yes,512 GB,No,Intel,Core i5,,,Intel Integrated Intel® UHD Graphics,GDDR4,2 GB,Windows 11 Home,No,35.56 cm (14 inch),1920x1080 pixel,60,"Yes, Wifi",,No,1 Year Warranty
DELL,"₹38,198",Thin and Light Laptop,Carbon Black,Yes,8 GB,DDR4,Yes,512 GB,No,AMD,Ryzen 3 Quad Core,5425U,2.7 GHz upto max turbo frequency at 4.1 Ghz,AMD Radeon AMD,GDDR4,2 GB,Windows 11 Home,No,35.0 cm (13.78 inch),1920 x 1080 Pixel,60,Yes,1.48 Kg,No,1 Year Onsite Hardware Service
HP,"₹73,500",Thin and Light Laptop,Natural Silver,Yes,16 GB,DDR4,Yes,512 GB,No,Intel,Core i7,1255U,,Intel Integrated Intel Iris Xe Graphics,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 inch),1920x1080 pixel,60,Yes,,Yes,1 Year Onsite Warranty
HP,"₹55,990",Gaming Laptop,Mica Silver,No,8 GB,DDR4,Yes,512 GB,No,AMD,Ryzen 5 Hexa Core,5600H,3.3GHz Upto max turbo frequency at 4.2 GHz,NVIDIA GeForce GTX 1650,GDDR6,4 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,60,v5.3,2.37 Kg,Yes,1 Year Onsite Warranty
ASUS,"₹1,14,990",Gaming Laptop,Quiet Blue,Yes,16 GB,DDR5,Yes,512 GB,No,Intel,Core i5,13500H,Max Turbo Frequency up to 4.7 GHz,NVIDIA GeForce RTX 4050,GDDR6,6 GB,Windows 11 Home,No,40.64 cm (16 Inch),3200 x 2000 Pixel,120 Hz,v5.0,1.90 Kg,Yes,1 Year Onsite Warranty
Lenovo,"₹66,190",2 in 1 Laptop,Arctic Grey,Yes,16 GB,LPDDR4X,Yes,512 GB,No,AMD,Ryzen 5 Hexa Core,7530U,"Base Frequency 2.0 GHz, Max Turbo Boost at 4.5 GHz",AMD Radeon AMD,GDDR4,2 GB,Windows 11 Home,Yes,35.56 cm (14 Inch),1920 x 1200 Pixels,60,v5.1,1.55 kg,Yes,1 Year Carry-in Warranty
Acer,"₹60,479",Gaming Laptop,Shale Black,No,16 GB,DDR4,Yes,512 GB,No,AMD,Ryzen 5 Hexa Core,5600H,3.2 GHz upto max turbo frequency at 4.2 Ghz,NVIDIA GeForce GTX 1650,GDDR6,4 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,60,V5.1,2.2 kg,No,1 Year International Travelers Warranty (ITW)
Acer,"₹33,400",Thin and Light Laptop,Silver,Yes,8 GB,LPDDR5,Yes,512 GB,No,Intel,Core i3,N305,Max turbo frequency at 3.8 Ghz,Intel Integrated UHD,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,60,v5.2,1.7 Kg,No,1 Year Onsite Warranty
ASUS,"₹72,990",Thin and Light Laptop,Jade Black,Yes,16 GB,LPDDR4X,Yes,512 GB,No,AMD,Ryzen 5 Hexa Core,7530U,2.0 GHz upto max turbo frequency at 4.5 Ghz,AMD Radeon AMD,GDDR4,2 GB,Windows 11 Home,No,35.56 cm (14 Inch),2880 x 1800 Pixel,90 Hz,v5.0,1.39 Kg,No,1 Year Onsite Warranty
HP,"₹28,500",Thin and Light Laptop,Jet Black,Yes,8 GB,DDR4,Yes,256 GB,No,Intel,Pentium Quad Core,N6000,1.1 GHz with Max Turbo Boost Frequency Up to 3.3 GHz,Intel Integrated UHD,GDDR4,2 GB,Windows 11 Home,No,35.56 cm (14 inch),1366 x 768 Pixel,60,v4.2,1.46 kg,No,1 Year Onsite Warranty
ASUS,"₹53,990",Laptop,Tough Black,Yes,16 GB,DDR4,Yes,1 TB,No,AMD,Ryzen 5 Hexa Core,7530U,2.0 GHz upto max turbo frequency at 4.5 Ghz,AMD Radeon AMD,GDDR4,2 GB,Windows 11 Home,No,40.64 cm (16 Inch),1920 x 1200 Pixel,60,v5.0,1.88 Kg,No,1 Year Onsite Warranty
DELL,"₹59,500",Laptop,Platinum Silver,Yes,8 GB,DDR4,Yes,1 TB,No,Intel,Core i5,,,Intel Integrated Integrated Intel® UHD Graphics,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 inch),1920 x 1080 pixel,60,YES,,No,1-year warranty
ASUS,"₹70,990",Creator Laptop,Cool Silver,Yes,16 GB,DDR4,Yes,512 GB,No,AMD,Ryzen 7 Octa Core,5800HS,3.2 Ghz. Turbo Upto 4.4 Ghz.,NVIDIA GeForce RTX 3050,GDDR6,4 GB,Windows 11 Home,No,39.62 cm (15.6 inch),1920*1080 pixel,144 Hz,5.0,1.8 kg,Yes,1 Year Onsite Warranty
HP,"₹52,990",Thin and Light Laptop,Natural Silver,Yes,8 GB,DDR4,Yes,512 GB,No,Intel,Core i5,1155G7,4.0 GHz,Intel Integrated Intel Iris Xe Graphics,DDR4,2 GB,Windows 11 Home,No,35.56 cm (14 inch),1920 x 1080 Pixel,60,v5.0,1.41 Kg,Yes,1 Year onsite Warranty
MSI,"₹45,990",Gaming Laptop,Black,No,8 GB,DDR5,Yes,512 GB,No,AMD,Ryzen 5 Hexa Core,7535HS,Max Frequency Up to 4.55 GHz,AMD Radeon RX6550M,GDDR6,4 GB,Windows 11 Home,No,39.62 cm (15.6 inch),1920 X 1080 Pixel,144 Hz,v5.3,2.35 Kg,Yes,1 Year Carry-in Warranty
CHUWI,"₹27,990",2 in 1 Laptop,Grey,No,12 GB,LPDDR4,Yes,512 GB,No,Intel,Core i3,Intel Core i3-1215U,2.8GHz,Intel Integrated Intel UHD Graphics,GDDR3,2 GB,Windows 11 Home,Yes,34.29 cm (13.5 inch),2256x1504 pixel,60,5.2,1340 g,Yes,1 Year Onsite Warranty
MSI,"₹1,19,990",Thin and Light Laptop,Stellar Gray,No,16 GB,LPDDR5,Yes,1 TB,No,Intel,Core Ultra 7,155H,700 MHz upto max turbo frequency at 4.8 Ghz,Intel Integrated Arc,GDDR4,2 GB,Windows 11 Home,No,40.64 cm (16 inch),2561 x 1600 Pixel,60,v5.4,1.5 Kg,No,2 Year Carry-in Warranty
HP,"₹70,990",Thin and Light Laptop,Natural Silver,Yes,16 GB,DDR4,Yes,512 GB,No,Intel,Core i5,1240P,Max Turbo Frequency Upto 4.4 GHz,Intel Integrated Iris Xe,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 inch),1920 x 1080 PIxel,60,v5.2,1.75 kg,Yes,1 Year Onsite Warranty
MSI,"₹1,10,990",Gaming Laptop,Black,No,16 GB,DDR5,Yes,1 TB,No,Intel,Core i7,12650H,Max Turbo Frequency up to 4.7GHz,NVIDIA GeForce RTX 4060,GDDR6,8 GB,Windows 11 Home,No,43.94 cm (17.3 Inch),2560 x 1440 Pixel,240 Hz,v5.2,2.6 Kg,No,2 Year Carry-in Warranty
HP,"₹29,999",Thin and Light Laptop,Dark Ash Silver,No,4 GB,DDR4,Yes,512 GB,No,Intel,Core i3,1005G1,1.2 GHz with Turbo Boost Upto 3.4 GHz,Intel Integrated UHD,GDDR4,2 GB,Windows 10 Home,No,39.62 cm (15.6 inch),1920x1080 Pixel,60,v5.0,1.74 KG,No,1 Year Onsite Warranty
Lenovo,"₹61,649",Thin and Light Laptop,Storm Grey,Yes,16 GB,LPDDR4X,Yes,512 GB,No,AMD,Ryzen 5 Hexa Core,5500U,4.0,AMD Radeon Radeon,GDDR4,2 GB,Windows 11 Home,Yes,35.56 cm (14 inch),1920 x 1200 Pixel,60,v5.2,1.55 Kg,Yes,1 Year Onsite warranty + 1 Year Accidental Damage Protection + 1 Year Premium Care
ASUS,"₹53,999",Laptop,Silver,Yes,16 GB,DDR4,Yes,512 GB,No,Intel,Core i5,,,Intel Integrated,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 inch),1920 x 1080$$Pixels pixel,60,YES,,No,1 Year Warranty
ASUS,"₹45,890",Laptop,Grey Green,Yes,16 GB,DDR5,Yes,512 GB,No,AMD,Ryzen 5 Quad Core,,,AMD Radeon AMD,GDDR4,2 GB,Windows 11 Home,No,35.56 cm (14 inch),1920 x 1080 pixel,60,YES,,No,1 YEAR INTERNATIONAL
ASUS,"₹45,890",Laptop,Transparent Silver,Yes,8 GB,DDR4,Yes,256 GB,No,Intel,Core i5,,,Intel Integrated,GDDR4,2 GB,Windows 11 Home,No,35.56 cm (14 inch),1366 x 768$$Pixels pixel,60,YES,,No,1 Year Onsite Warranty
Lenovo,"₹30,500",Laptop,Grey,No,4 GB,DDR4,No,No,1 TB,Intel,Core i3,1035G1,1 GHz with Turbo Boost Upto 3.6 GHz,Intel Integrated UHD,GDDR4,2 GB,Windows 10 Home,No,39.62 cm (15.6 inch),1366 x 768 Pixel,60,v4.1,2.2 kg,No,1 Year Onsite Warranty
Acer,"₹71,877",Gaming Laptop,Shale Black,No,16 GB,DDR4,Yes,512 GB,No,Intel,Core i5,12500H,"Performance-core Max Turbo Frequency Up to 4.50 GHz, Efficient-core Max Turbo Frequency up to 3.30 GHz",NVIDIA GeForce RTX 3050,GDDR6,4 GB,Windows 11 Home,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,60,v5.1,2.5 kg,Yes,1 Year International Travelers Warranty (ITW)
MSI,"₹51,990",Thin and Light Laptop,Classic Black,No,8 GB,DDR4,Yes,512 GB,No,Intel,Core i5,1335U,Max Turbo Frequency up to 4.6 GHz,Intel Integrated Iris Xe,GDDR4,2 GB,Windows 11 Home,No,35.56 cm (14 Inch),1920 x 1080 Pixel,60,v5.2,1.4 Kg,Yes,1 Year Carry-in Warranty
ASUS,"₹88,896",Gaming Laptop,Off Black,Yes,16 GB,DDR5,Yes,1 TB,No,Intel,Core i7,12650H,Base 2.3 GHz to 4.7 GHz,NVIDIA GeForce RTX 3050,GDDR6,4 GB,Windows 11 Home,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,144 Hz,v5.1,2 Kg,Yes,1 Year Onsite Warranty
Lenovo,"₹46,990",Thin and Light Laptop,Iron Grey,Yes,8 GB,DDR4,Yes,256 GB,No,Intel,Core i5,1135G7,2.4 GHz with Turbo Boost Upto 4.2 GHz,Intel Integrated Iris XE,GDDR4,2 GB,Windows 10,No,35.56 cm (14 inch),1920 x 1080 pixel,60,5.0,1.6 kg,No,1 Year Lenovo
ASUS,"₹32,054",Laptop,Slate Grey,No,8 GB,DDR4,No,No,1 TB,Intel,Core i3,i3-10110U,2.1 Ghz With Turbo Upto 4.10,Intel Integrated UHD,GDDR4,2 GB,Windows 10 Home,No,35.81 cm (14.1 inch),1366 X 768$$Pixels pixel,60,4.1,1.6 kg,No,1 Year Onsite Warranty
Lenovo,"₹34,970",Thin and Light Laptop,Cloud Grey,Yes,8 GB,DDR4,Yes,512 GB,No,AMD,Ryzen 5,Ryzen™ 5,,AMD Radeon Integrated AMD Radeon™ Graphics,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 inch),1366x768 pixel,60,YES,,No,1-year warranty
HP,"₹52,000",Thin and Light Laptop,Natural Silver,Yes,16 GB,DDR4,Yes,512 GB,No,Intel,Core i5,,,Intel Integrated Intel Iris Xe Graphics,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 inch),1920 x 1080$$Pixel pixel,60,v5.0,,Yes,1 Year Onsite Warranty
HP,"₹61,990",Chromebook,Mineral Silver,No,8 GB,DDR4,Yes,256 GB,No,Intel,Core i5,1135G7,"Base Frequency 2.40 GHz, Max Turbo Boost Frequency Upto 4.2 GHz",Intel Integrated Iris Xe,GDDR4,2 GB,Chrome,No,35.56 cm (14 inch),1920 x 1080 Pixel,60,v5.0,1.49 kg,Yes,1 Year Onsite Warranty
Lenovo,"₹87,190",Laptop,Cloud Grey,Yes,16 GB,LPDDR5,Yes,1 TB,No,Intel,Core i7,13700H,Max Turbo Frequency upto 5.0GHz,Intel Integrated Iris Xe,GDDR4,2 GB,Windows 11 Home,No,40.64 cm (16 inch),2560 x 1600 Pixel,60,v5.1,1.89 Kg,No,1 Year Carry-in Warranty
DELL,"₹37,790",Thin and Light Laptop,Carbon Black,Yes,8 GB,DDR4,Yes,512 GB,No,AMD,Ryzen 5 Hexa Core,5500U,Upto 4.00 GHz,AMD Radeon AMD,GDDR4,2 GB,Windows 11 Home,No,35.56 cm (14 inch),1920 X 1080 Pixel,60,Yes,1.48 Kg,No,1 Year Onsite Hardware Service
HP,"₹85,999",2 in 1 Laptop,Natural Silver,Yes,16 GB,DDR4,Yes,512 GB,No,Intel,Core i7,1195G7,2.9 GHz upto max turbo frequency at 5 GHz,Intel Integrated Iris Xe,GDDR4,2 GB,Windows 11 Home,Yes,35.56 cm (14 inch),1920 x 1080 pixel,60,v5.2,1.52 kg,Yes,1 Year Onsite Warranty
ASUS,"₹90,900",Gaming Laptop,Electro Punk,Yes,16 GB,DDR5,Yes,1 TB,No,AMD,Ryzen 7 Octa Core,6800HS,4.7 GHz,NVIDIA GeForce RTX 3050,GDDR6,4 GB,Windows 11 Home,No,39.62 cm (15.6 inch),1920 x 1080 pixel,144 Hz,v5.2,2.10 kg,Yes,1 Year Onsite Warranty
CHUWI,"₹16,990",Laptop,Grey,No,8 GB,DDR4,Yes,256 GB,No,Intel,Celeron Dual Core,N4020,2.6GHz,Intel Integrated Intel UHD Graphics,DDR4,2 GB,Windows 11 Home,No,35.81 cm (14.1 inch),1920 x 1080 pixel,60,4.2,1.39 kg,No,1 Year Onsite Warranty
Apple,"₹74,990",Thin and Light Laptop,Silver,No,8 GB,DDR4,Yes,256 GB,No,Apple,M1,Apple M1 Chip,,NA,GDDR4,2 GB,Mac OS Big Sur,No,33.78 cm (13.3 inch),2560 x 1600 Pixel,60,v5.0,1.29 kg,No,1 Year Limited Warra­nty
Apple,"₹69,990",Thin and Light Laptop,Space Grey,No,8 GB,DDR4,Yes,256 GB,No,Apple,M1,Apple M1 Chip,,NA,GDDR4,2 GB,Mac OS Big Sur,No,33.78 cm (13.3 inch),2560 x 1600 Pixel,60,v5.0,1.29 kg,No,1 Year Limited Warra­nty
HP,"₹36,990",Thin and Light Laptop,Natural Silver,Yes,8 GB,DDR4,Yes,512 GB,No,Intel,Core i3,1215U,"Base Frequency 3.30 GHz, Max Turbo Boost Frequency Up to 4.40 GHz",Intel Integrated UHD,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixels,60,v5.0,1.69 kg,Yes,1 Year Onsite Warranty
HP,"₹28,990",Thin and Light Laptop,Natural Silver,Yes,8 GB,DDR4,Yes,512 GB,No,AMD,Ryzen 3 Dual Core,3250U,2.60 GHz up to 3.50 GHz,AMD Radeon AMD,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,60,v5.0,1.69 Kg,No,1 Year Onsite Warranty
MSI,"₹34,990",Thin and Light Laptop,Urban Silver,No,16 GB,DDR4,Yes,512 GB,No,AMD,Ryzen 5 Hexa Core,7530U,2.0 GHz upto max turbo frequency at 4.5 Ghz,AMD Radeon AMD,GDDR4,2 GB,Windows 11 Home,No,35.56 cm (14 Inch),1920 x 1080 Pixel,60,v5.2,1.4 Kg,Yes,1 Year Carry-in Warranty
CHUWI,"₹18,990",Laptop,Grey,No,8 GB,DDR4,Yes,256 GB,No,Intel,Celeron Dual Core,N4020,1.10 GHz Upto 2.80 GHz,Intel Integrated UHD,DDR5,2 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,60,v5.2,1.74 kg,No,1 Year Onsite Warranty
Lenovo,"₹25,990",Thin and Light Laptop,Arctic Grey,No,8 GB,LPDDR5,Yes,512 GB,No,AMD,Ryzen 3 Quad Core,7320U,2.4 GHz upto max turbo frequency at 4.1 Ghz,AMD Radeon AMD,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,60,v5.1,1.65 Kg,No,1 Year Onsite Warranty
SAMSUNG,"₹62,990",Thin and Light Laptop,Silver,Yes,16 GB,DDR5,Yes,512 GB,No,Intel,Core i5,1240P,1.7 GHz to max turbo frequency at 4.4 GHz,Intel Integrated Iris Xe,GDDR4,2 GB,Windows 11 Home,No,33.78 cm (13.3 Inch),1920 x 1080 Pixel,60,Yes,0.87 Kg,Yes,1 Year Onsite Warranty
AXL,"₹16,970",Thin and Light Laptop,Space Grey,No,4 GB,DDR4,Yes,256 GB,No,Intel,Celeron Dual Core,,,Intel Integrated,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 inch),1920*1080 pixel,60,yes,,No,1 Year
CHUWI,"₹27,990",2 in 1 Laptop,Grey,No,12 GB,LPDDR4,Yes,512 GB,No,Intel,Core i3,Intel Core i3-1215U,2.8GHz,Intel Integrated Intel UHD Graphics,GDDR3,2 GB,Windows 11 Home,Yes,34.29 cm (13.5 inch),2256x1504 pixel,60,5.2,1340 g,Yes,1 Year Onsite Warranty
MSI,"₹32,990",Thin and Light Laptop,Urban Silver,No,8 GB,DDR4,Yes,512 GB,No,AMD,Ryzen 5 Hexa Core,7530U,2.0 GHz upto max turbo frequency at 4.5 Ghz,AMD Radeon AMD,GDDR4,2 GB,Windows 11 Home,No,35.56 cm (14 Inch),1920 x 1080 Pixel,60,v5.2,1.4 Kg,Yes,1 Year Carry-in Warranty
Apple,"₹74,990",Thin and Light Laptop,Gold,No,8 GB,DDR4,Yes,256 GB,No,Apple,M1,Apple M1 Chip,,NA,GDDR4,2 GB,Mac OS Big Sur,No,33.78 cm (13.3 inch),2560 x 1600 Pixel,60,v5.0,1.29 kg,No,1 Year Limited Warra­nty
DELL,"₹34,540",Thin and Light Laptop,Platinum Silver,Yes,8 GB,DDR4,Yes,512 GB,No,Intel,Core i3,1215U,0.9 GHz upto max turbo frequency at 4.4 Ghz,Intel Integrated UHD,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,60,v5.2,1.65 Kg,No,1 Year Onsite Hardware Service
Infinix,"₹54,990",Thin and Light Laptop,Silver,Yes,32 GB,LPDDR5X,Yes,1 TB,No,Intel,Core i9,13900H,Max Turbo Frequency up to 5.4 GHz,Intel Integrated 96EU Iris Xe,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,60,v5.2,1.80 Kg,Yes,1 Year Onsite Warranty
CHUWI,"₹24,990",Laptop,Grey,No,8 GB,DDR4,Yes,512 GB,No,Intel,Core i3,1005G1,1.2GHz,Intel Integrated Intel UHD Graphics,GDDR4,2 GB,Windows 11 Home,No,35.56 cm (14 inch),1920 x 1200 pixel,60,5.2,1.40 kg,Yes,1 Year Onsite Warranty
HP,"₹34,490",Thin and Light Laptop,Natural Silver,Yes,8 GB,DDR4,Yes,512 GB,No,Intel,Core i3,1115G4,"Base Frequency 1.7 GHz, Max Turbo Frequency at 4.1 GHz",Intel Integrated UHD,GDDR4,2 GB,Windows 11 Home,No,35.56 cm (14 inch),1920 x 1080 Pixel,60,v5.0,1.41 kg,No,1 Year Onsite Warranty
WINGS,"₹24,990",Thin and Light Laptop,Blue,No,8 GB,DDR4,Yes,512 GB,No,Intel,Core i5,1155G7,2.5 GHz upto max turbo frequency at 4.5 Ghz,Intel Integrated UHD,DDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1020 Pixel,60,Yes,1.60 Kg,No,1 Year Onsite Warranty
Acer,"₹29,990",Thin and Light Laptop,Steel Gray,No,8 GB,LPDDR5,Yes,512 GB,No,AMD,Ryzen 5 Quad Core,7520U,2.8GHz Upto 4.3GHz,AMD Radeon AMD,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,60,v5.1,1.78 Kg,No,1 Year International Travelers Warranty
walker,"₹12,990",Thin and Light Laptop,Cloud Silver,No,4 GB,LPDDR4,Yes,128 GB,No,Intel,Celeron Dual Core,N4020,Max Frequency Up to 2.8 GHz,Intel Integrated UHD 600,GDDR4,2 GB,Windows 11 Home,No,35.81 cm (14.1 inch),1920 X 1080 Pixel,60,v4.0,1.3 Kg,No,1 Year Onsite Warranty
Infinix,"₹27,990",Thin and Light Laptop,Silver,No,8 GB,LPDDR4X,Yes,512 GB,No,Intel,Core i5,1035G1,Max Turbo Frequency up to 3.6 GHz,Intel Integrated UHD,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 inch),1920 X 1080 Pixel,60,v5.1,1.76 kg,Yes,1 Year Onsite Warranty
Lenovo,"₹26,990",Thin and Light Laptop,Cloud Grey,Yes,8 GB,LPDDR5,Yes,512 GB,No,AMD,Athlon Dual Core,7120U,Max Turbo Frequency up to 3.5GHz,AMD Radeon 610M Graphics,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 inch),1366 x 768 Pixel,60,v5.1,1.58 Kg,No,1 Year Carry-in Warranty
Infinix,"₹18,990",Thin and Light Laptop,Grey,No,4 GB,LPDDR4X,Yes,128 GB,No,Intel,Celeron Quad Core,N5100,Max Frequency up to 2.8 GHz,Intel Integrated UHD,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,60,v5.1,1.76 Kg,,1 Year Onsite Warranty
