brand,type,msoffice,RAM,SSDCap,HDDCap,GPU,OS,Touchscreen,refreshrate,Weight,BacklitKB,warranty,price,PPI,Processor
Lenovo,Gaming Laptop,0,16,512,0,NVIDIA GeForce RTX 2050,Windows 11 Home,0,60,2.32,1,1,54990.0,141.21199808219862,AMD Ryzen 5 Hexa Core
Lenovo,Thin and Light Laptop,1,8,512,0,AMD Radeon 610M,Windows 11 Home,0,60,1.58,0,1,39990.0,141.21199808219862,AMD Ryzen 5 Quad Core
ASUS,Thin and Light Laptop,1,16,512,0,Intel Integrated Iris X graphics,Windows 11 Home,0,60,1.5,1,1,74990.0,242.5880862528841,Intel Core i7
HP,Thin and Light Laptop,1,16,1024,0,AMD Radeon Vega Graphics,Windows 11 Home,0,60,1.75,0,1,55990.0,145.1381712624093,AMD Ryzen 5 Hexa Core
ASUS,Gaming Laptop,1,16,512,0,NVIDIA GeForce RTX 2050,Windows 11 Home,0,60,1.8,1,1,60990.0,141.21199808219862,AMD Ryzen 5 Hexa Core
HP,Gaming Laptop,1,16,512,0,AMD Radeon RX 6500M,Windows 11 Home,0,60,2.37,1,1,50999.0,141.21199808219862,AMD Ryzen 5 Hexa Core
HP,Chromebook,0,4,0,0,Intel Integrated UHD,Chrome,1,60,1.49,0,1,19990.0,111.93520355955211,Intel Celeron Quad Core
Lenovo,Chromebook,0,8,0,0,MediaTek Integrated Graphics,Chrome,0,60,1.3,0,1,17990.0,111.93520355955211,MediaTek MediaTek Kompanio 520
HP,Thin and Light Laptop,1,8,512,0,Intel Integrated Graphics,Windows 11 Home,0,60,1.6,0,1,43990.0,141.21199808219862,Intel Core i3
ASUS,Thin and Light Laptop,1,16,512,0,AMD Radeon Vega Graphics,Windows 11 Home,0,60,1.7,0,1,47990.0,141.21199808219862,AMD Ryzen 7 Octa Core
ASUS,Thin and Light Laptop,1,8,512,0,AMD Radeon Vega Graphics,Windows 11 Home,0,60,1.63,0,1,39990.0,141.21199808219862,AMD Ryzen 5 Quad Core
Infinix,Thin and Light Laptop,0,8,512,0,Intel Integrated UHD,Windows 11 Home,0,60,1.24,0,1,28990.0,157.3505121487356,Intel Core i3
HP,Gaming Laptop,1,16,1024,0,NVIDIA GeForce RTX 2050,Windows 11 Home,0,60,2.37,1,1,66990.0,141.21199808219862,Intel Core i5
HP,Laptop,0,8,512,0,NIL,DOS,0,60,1.47,0,1,23999.0,100.45466986113651,AMD Ryzen 3 Dual Core
HP,Thin and Light Laptop,1,8,512,0,Intel Integrated UHD,Windows 11 Home,0,60,1.69,0,1,35990.0,141.21199808219862,Intel Core i3
ASUS,Thin and Light Laptop,1,16,512,0,Intel Integrated UHD,Windows 11 Home,0,60,1.8,0,1,35990.0,141.21199808219862,Intel Core i3
HP,Thin and Light Laptop,1,16,512,0,Intel Integrated UHD,Windows 11 Home,0,60,1.41,1,1,61990.0,157.3505121487356,Intel Core i5
ASUS,Thin and Light Laptop,1,8,512,0,AMD Radeon Vega Graphics,Windows 11 Home,0,60,1.63,0,1,39990.0,141.21199808219862,AMD Ryzen 3 Quad Core
Apple,Thin and Light Laptop,0,8,256,0,NIL,Mac OS Big Sur,0,60,1.29,0,1,69990.0,226.98300468106115,Apple M1
ASUS,Thin and Light Laptop,1,16,512,0,Intel Integrated Iris X graphics,Windows 11 Home,0,60,1.8,1,1,77990.0,141.21199808219862,Intel Core i7
Infinix,Thin and Light Laptop,0,16,512,0,Intel Integrated UHD,Windows 11 Home,0,60,1.8,0,1,34990.0,141.21199808219862,Intel Core i5
ZEBRONICS,Thin and Light Laptop,0,8,512,0,Intel Integrated UHD,Windows 11 Home,0,60,1.76,0,1,31990.0,141.21199808219862,Intel Core i5
ASUS,Gaming Laptop,0,8,512,0,NVIDIA GeForce RTX 2050,Windows 11 Home,0,144,2.3,1,1,49990.0,141.21199808219862,Intel Core i5
ASUS,Thin and Light Laptop,1,16,1024,0,AMD Radeon Vega Graphics,Windows 11 Home,0,90,1.4,1,1,70990.0,242.5880862528841,AMD Ryzen 7 Octa Core
HP,Thin and Light Laptop,1,8,512,0,AMD Radeon Vega Graphics,Windows 11 Home,0,60,1.46,1,1,35910.0,157.3505121487356,AMD Ryzen 3 Quad Core
DELL,Thin and Light Laptop,1,8,512,0,Intel Integrated UHD,Windows 11 Home,0,60,1.8,0,1,32350.0,57.97124131795522,Intel Core i3
Lenovo,Gaming Laptop,1,16,512,0,NVIDIA GeForce RTX 2050,Windows 11 Home,0,60,2.4,0,1,59349.0,141.21199808219862,Intel Core i5
ASUS,2 in 1 Laptop,1,16,512,0,AMD Radeon Vega Graphics,Windows 11 Home,1,60,1.5,0,1,58990.0,161.72539083525606,AMD Ryzen 5 Hexa Core
ASUS,Thin and Light Laptop,1,16,512,0,Intel Integrated Iris X graphics,Windows 11 Home,0,60,1.7,0,1,49990.0,141.21199808219862,Intel Core i5
ASUS,Thin and Light Laptop,1,16,512,0,Intel Integrated Iris X graphics,Windows 11 Home,0,60,1.5,1,1,66990.0,242.5880862528841,Intel Core i5
WINGS,Thin and Light Laptop,0,16,512,0,Intel Integrated Iris Plus Graphics,Windows 11 Home,0,60,1.48,0,1,59990.0,155.29432227422947,Intel Core i7
ASUS,Thin and Light Laptop,1,8,256,0,Intel Integrated Graphics,Windows 11 Home,0,60,1.57,0,1,24990.0,141.21199808219862,Intel Celeron Dual Core
Lenovo,Thin and Light Laptop,0,16,512,0,Intel Integrated Iris X graphics,Windows 11 Home,0,60,1.7,1,1,57990.0,141.21199808219862,Intel Core i7
ASUS,2 in 1 Laptop,0,8,512,0,AMD Radeon Vega Graphics,Windows 11 Home,1,60,1.5,1,1,52990.0,161.72539083525606,AMD Ryzen 5 Hexa Core
ZEBRONICS,Thin and Light Laptop,0,16,1024,0,Intel Integrated UHD,Windows 11 Home,0,60,1.76,0,1,43990.0,141.21199808219862,Intel Core i7
MSI,Gaming Laptop,0,16,512,0,NVIDIA GeForce RTX 2050,Windows 11 Home,0,60,1.86,0,2,46990.0,141.21199808219862,Intel Core i5
MSI,Gaming Laptop,0,16,256,1024,NVIDIA GeForce RTX 4050,Windows 11 Home,0,144,1.86,1,2,69990.0,141.21199808219862,Intel Core i5
ASUS,Thin and Light Laptop,1,16,512,0,Intel Integrated Iris X graphics,Windows 11 Home,0,60,1.7,1,1,82990.0,141.21199808219862,Intel Core i5
ASUS,Chromebook,0,4,0,0,Intel Integrated UHD,Chrome,0,60,1.8,0,1,15990.0,141.21199808219862,Intel Celeron Dual Core
